"Node","scheme_name","classname_ru","classname","compname","iconname","w","h","ports","props_source"
"насос","Н","насос","pump","pump","pump",90,62,"lr","oil_object.csv"
"насос","НА","насосный агрегат","pump unit","pump_unit","pump_unit",90,62,"lr","oil_object.csv"
"насос","НПВ","насос перекачки воды","water transfer pump","pump_water_transfer","water_transfer_pump",90,62,"lr","oil_object.csv"
"насос","НВП","насос внутри площадной","internal pump","pump_internal","internal_pump",90,62,"lr","oil_object.csv"
"насос","НВО","насос внешней откачки","external pump","pump_external","external_pump",90,62,"lr","oil_object.csv"
"насос","НВТ","насос вт ??","return pump","return_pump","return_pump",90,62,"lr","oil_object.csv"
"насос","Н","насос","pump","pump_on","pump_on",90,62,"lr","oil_object.csv"
"насос","НА","насосный агрегат","pump unit","pump_unit_on","pump_unit_on",90,62,"lr","oil_object.csv"
"насос","НПВ","насос перекачки воды","water transfer pump","pump_water_transfer_on","water_transfer_pump_on",90,62,"lr","oil_object.csv"
"насос","НВП","насос внутри площадной","internal pump","pump_internal_on","internal_pump_on",90,62,"lr","oil_object.csv"
"насос","НВО","насос внешней откачки","external pump","pump_external_on","external_pump_on",90,62,"lr","oil_object.csv"
"насос","НВТ","насос вт ??","return pump","pump_return_on","return_pump_on",90,62,"lr","oil_object.csv"
"сепаратор","КСУ","Концевая сепарационная установка","end separator unit","separator_control","oil_tank_f_og",185,120,"1c_2ul","oil_object.csv"
"сепаратор","НГС","нефте-газовый сепаратор","oil n gas separator","separator_oil_n_gas","oil_tank_f_og",185,120,"1c_2ul","oil_object.csv"
"сепаратор","ГС","газовый сепаратор","gas separator","separator_gas","oil_tank_g_g",185,120,"lr","oil_object.csv"
"отстойник","ОО","отстойник","sump","sump","oil_tank_o_ow",185,120,"1c_2cl","oil_object.csv"
"отстойник","ОГ","отстойник горизонтальный","sump h","sump_h","oil_tank_o_ow",185,120,"1c_2cl","oil_object.csv"
"отстойник","О","отстойник","sump","sump_water","oil_tank_w_w",185,120,"lr","oil_object.csv"
"отстойник","ОВ","отстойник воды","water sump","water_sump","ОВ",148,89,"lr","oil_object.csv"
"сепаратор","С","сепаратор","separator","separator","oil_tank_w_w",185,120,"lr","oil_object.csv"
"сепаратор","СВ","сепаратор воды","water separator","water_separator","ОВ",148,89,"lr","oil_object.csv"
"резервуар","РВС","резервуар вертикальный стальной","vertical tank","vertical_tank","tank_flat",185,160,"lr","oil_object.csv"
"сепаратор","ГС","газовый сепаратор","gas separator","gas_separator_small","ОВ",148,89,"lr","oil_object.csv"
"резервуар","РВС","резервуар вертикальный стальной","vertical tank","vertical_tank11","tank_vertical_11",185,160,"lr08","oil_object.csv"
"резервуар","РВС","резервуар вертикальный стальной","vertical tank","vertical_tank12","tank_vertical_12",185,160,"l08cr","oil_object.csv"
"горелка","Г","горелка","fire","fire","oil_fire",47,112,"lr","oil_object.csv"
"горелка","Г","горелка","fire","fire_off","oil_fire_off",47,65,"lr","oil_object.csv"
"печь","ПП","печь","oven","oven","oil_oven",185,87,"lr","oil_object.csv"
"печь","ПП","печь","oven","oven_off","oil_oven_off",185,87,"lr","oil_object.csv"
