iconname,w,h,compname,ID примитива,"Номер в СТО 56947007-29.240.10.035-2009","Название в СТО 56947007-29.240.10.035-2009",Определение в ГОСТ Р 58651,Класс CIM из IEC61970-301
"Воздушная линия 0,4 кВ.svg",91,91,"Воздушная линия 0,4 кВ",53.0,,Воздушная линия,Участок (сегмент) линии переменного тока,ACLineSegment
"Кабельная линия 0,4 кВ.svg",91,91,"Кабельная линия 0,4 кВ",43.0,27,Кабельная линия,Участок (сегмент) линии переменного тока,ACLineSegment
"Тележка выключателя КРУ в контрольном положении, выключатель отключен..svg",91,91,"Тележка выключателя КРУ в контрольном положении, выключатель отключен.",17.0,8 г,Тележка выключателя КРУ,,
"Тележка выключателя КРУ в рабочем положении, выключатель включен..svg",91,91,"Тележка выключателя КРУ в рабочем положении, выключатель включен.",14.0,8 а,Тележка выключателя КРУ,,
"Тележка выключателя КРУ в рабочем положении, выключатель отключен..svg",91,91,"Тележка выключателя КРУ в рабочем положении, выключатель отключен.",15.0,8 б,Тележка выключателя КРУ,,
"Тележка выключателя КРУ в ремонтном положении, выключатель отключен..svg",91,91,"Тележка выключателя КРУ в ремонтном положении, выключатель отключен.",16.0,8 в,Тележка выключателя КРУ,,
Автоматический выключатель включен.svg,91,91,Автоматический выключатель включен,12.0,7 а,Автоматический выключатель,Выключатель,Breaker
Автоматический выключатель отключен.svg,91,91,Автоматический выключатель отключен,13.0,7 б,Автоматический выключатель,Выключатель,Breaker
Автотрансформатор 3-х обмоточный с РПН.svg,91,119,Автотрансформатор 3-х обмоточный с РПН,21.0,10,Автотрансформатор 3-х обмоточный,Силовой трансформатор,PowerTransformer
Автотрансформатор 3-х обмоточный.svg,91,119,Автотрансформатор 3-х обмоточный,22.0,10,Автотрансформатор 3-х обмоточный,Силовой трансформатор,PowerTransformer
Воздушная линия 220 кВ.svg,91,91,Воздушная линия 220 кВ,57.0,,Воздушная линия,Участок (сегмент) линии переменного тока,ACLineSegment
Воздушная линия 330 кВ.svg,91,91,Воздушная линия 330 кВ,58.0,,Воздушная линия,Участок (сегмент) линии переменного тока,ACLineSegment
Воздушная линия 35 кВ.svg,91,91,Воздушная линия 35 кВ,55.0,,Воздушная линия,Участок (сегмент) линии переменного тока,ACLineSegment
Воздушная линия 400 кВ.svg,91,91,Воздушная линия 400 кВ,59.0,,Воздушная линия,Участок (сегмент) линии переменного тока,ACLineSegment
Воздушная линия 6 кВ.svg,91,91,Воздушная линия 6 кВ,54.0,,Воздушная линия,Участок (сегмент) линии переменного тока,ACLineSegment
Воздушная линия 750 кВ.svg,91,91,Воздушная линия 750 кВ,,,,,
Выключатель включен 110 кВ.svg,91,91,Выключатель включен 110 кВ,,,,,
Выключатель включен 1150 кВ.svg,91,91,Выключатель включен 1150 кВ,,,,,
Выключатель включен 500 кВ.svg,91,91,Выключатель включен 500 кВ,,,,,
Выключатель включен.svg,91,91,Выключатель включен,0.0,1 а,Выключатель,Выключатель,Breaker
Выключатель нагрузки включен.svg,91,91,Выключатель нагрузки включен,2.0,2 а,Выключатель нагрузки,Выключатель нагрузки,LoadBreakSwitch
Выключатель нагрузки отключен.svg,91,91,Выключатель нагрузки отключен,3.0,2 б,Выключатель нагрузки,Выключатель нагрузки,LoadBreakSwitch
Выключатель отключен.svg,91,91,Выключатель отключен,1.0,1 б,Выключатель,Выключатель,Breaker
Высокочастотный заградитель линии электропередачи.svg,91,91,Высокочастотный заградитель линии электропередачи,31.0,15,Высокочастотный заградитель линии электропередачи,ВЧ заградитель,WaveTrap
Генератор.svg,91,76,Генератор,80.0,,,,
Двигатель.svg,91,76,Двигатель,81.0,,,,
Дугогасящие реакторы с возможностью плавного регулирования.svg,91,91,Дугогасящие реакторы с возможностью плавного регулирования,28.0,13,Дугогасящие реакторы,Дугогасящая катушка Петерсена,PetersenCoil
Дугогасящие реакторы.svg,91,91,Дугогасящие реакторы,27.0,13,Дугогасящие реакторы,Дугогасящая катушка Петерсена,PetersenCoil
Заземляющий нож включен.svg,91,91,Заземляющий нож включен,6.0,4 а,Заземляющий нож,Короткозамыкатель,GroundSwitch
Заземляющий нож отключен.svg,91,91,Заземляющий нож отключен,7.0,4 б,Заземляющий нож,Короткозамыкатель,GroundSwitch
Кабельная линия 110 кВ.svg,91,91,Кабельная линия 110 кВ,46.0,27,Кабельная линия,Участок (сегмент) линии переменного тока,ACLineSegment
Кабельная линия 1150 кВ.svg,91,91,Кабельная линия 1150 кВ,52.0,27,Кабельная линия,Участок (сегмент) линии переменного тока,ACLineSegment
Кабельная линия 220 кВ.svg,91,91,Кабельная линия 220 кВ,47.0,27,Кабельная линия,Участок (сегмент) линии переменного тока,ACLineSegment
Кабельная линия 330 кВ.svg,91,91,Кабельная линия 330 кВ,48.0,27,Кабельная линия,Участок (сегмент) линии переменного тока,ACLineSegment
Кабельная линия 35 кВ.svg,91,91,Кабельная линия 35 кВ,45.0,27,Кабельная линия,Участок (сегмент) линии переменного тока,ACLineSegment
Кабельная линия 400 кВ.svg,91,91,Кабельная линия 400 кВ,49.0,27,Кабельная линия,Участок (сегмент) линии переменного тока,ACLineSegment
Кабельная линия 500 кВ.svg,91,91,Кабельная линия 500 кВ,50.0,27,Кабельная линия,Участок (сегмент) линии переменного тока,ACLineSegment
Кабельная линия 6 кВ.svg,91,91,Кабельная линия 6 кВ,44.0,27,Кабельная линия,Участок (сегмент) линии переменного тока,ACLineSegment
Кабельная линия 750 кВ.svg,91,91,Кабельная линия 750 кВ,,,,,
Конденсатор.svg,91,19,Конденсатор,33.0,17,Конденсатор,,
Короткозамыкатель включен.svg,91,91,Короткозамыкатель включен,8.0,5,Короткозамыкатель,Короткозамыкатель,GroundSwitch
Короткозамыкатель отключен.svg,91,91,Короткозамыкатель отключен,9.0,5,Короткозамыкатель,Короткозамыкатель,GroundSwitch
Ограничитель перенапряжений.svg,91,91,Ограничитель перенапряжений,34.0,18,Ограничитель перенапряжений,Ограничитель перенапряжения,SurgeArrester
Отделитель включен.svg,91,91,Отделитель включен,10.0,6 а,Отделитель,,
Отделитель отключен.svg,91,91,Отделитель отключен,11.0,6 б,Отделитель,,
Отпайка.svg,91,91,Отпайка,73.0,,,Соединенные полюса,ConnectivityNode
Предохранитель с плавкой вставкой.svg,91,59,Предохранитель с плавкой вставкой,36.0,20,Предохранитель 6 – 35 кВ,Предохранитель с плавкой вставкой,Fuse
Пример составления несколких шин.svg,113,91,Пример составления несколких шин,,,,,
Разрядник.svg,91,91,Разрядник,35.0,19,Разрядник,,
Разъединитель включен.svg,91,91,Разъединитель включен,4.0,3 а,Разъединитель,Разъединитель,Disconnector
Разъединитель отключен.svg,91,91,Разъединитель отключен,5.0,3 б,Разъединитель,Разъединитель,Disconnector
Реактор шунтирующий с возможностью регулирования.svg,91,82,Реактор шунтирующий с возможностью регулирования,40.0,22,Реактор шунтирующий,,
Реактор шунтирующий.svg,91,82,Реактор шунтирующий,39.0,22,Реактор шунтирующий,,
Синхронный компенсатор.svg,91,49,Синхронный компенсатор,41.0,23,Синхронный компенсатор,,
Тележка разъединителя КРУ  в контрольном положении.svg,91,91,Тележка разъединителя КРУ  в контрольном положении,,,,,
Тележка разъединителя КРУ в рабочем положении.svg,91,91,Тележка разъединителя КРУ в рабочем положении,18.0,9а,Тележка разъединителя КРУ,,
Тележка разъединителя КРУ в ремонтном положении.svg,91,91,Тележка разъединителя КРУ в ремонтном положении,19.0,9б,Тележка разъединителя КРУ,,
Токоограничивающий реактор одинарный.svg,91,65,Токоограничивающий реактор одинарный,37.0,21,Токоограничивающий реактор,,
Токоограничивающий реактор сдвоенный.svg,81,89,Токоограничивающий реактор сдвоенный,38.0,21,Токоограничивающий реактор,,
Трансформатор напряжения 2-х обмоточный.svg,91,91,Трансформатор напряжения 2-х обмоточный,29.0,14,Трансформатор напряжения 2-х обмоточный,,PotentialTransformer
Трансформатор напряжения 3-х обмоточный.svg,84,81,Трансформатор напряжения 3-х обмоточный,30.0,14,Трансформатор напряжения 3-х обмоточный,,PotentialTransformer
Трансформатор силовой  3-х обмоточный с РПН.svg,84,81,Трансформатор силовой  3-х обмоточный с РПН,,,,,
Трансформатор силовой 2-х обмоточный с РПН.svg,91,91,Трансформатор силовой 2-х обмоточный с РПН,23.0,11,Трансформатор силовой 2-х обмоточный,Силовой трансформатор,PowerTransformer
Трансформатор силовой 2-х обмоточный.svg,91,91,Трансформатор силовой 2-х обмоточный,24.0,11,Трансформатор силовой 2-х обмоточный,Силовой трансформатор,PowerTransformer
Трансформатор силовой 3-х обмоточный.svg,84,81,Трансформатор силовой 3-х обмоточный,26.0,12,Трансформатор силовой 3-х обмоточный,Силовой трансформатор,PowerTransformer
Трансформатор тока.svg,121,91,Трансформатор тока,42.0,24,Трансформатор тока,Трансформатор тока,CurrentTransformer
Фильтр присоединения.svg,91,37,Фильтр присоединения,32.0,16,Фильтр присоединения,,
